Model,rmv_inf_grad,Fold,Accuracy,Precision,Recall,F1,AUC,Uncertainty,num_epochs_trained,Acc_class_0,Acc_class_1
Eff_b0,True,3,0.8891184573002755,0.8279825969967884,0.8473188049875484,0.8370089725524538,0.9304718983647712,0.06037464380309051,10,0.9190600522193212,0.7755775577557755
Eff_b0,True,4,0.9090909090909091,0.8634882972150592,0.859938474265181,0.861694727392907,0.938781606620192,0.05819587572883433,10,0.9442993907745866,0.7755775577557755
Eff_b0,True,5,0.8987603305785123,0.8455919080919081,0.8497660471007937,0.8476513233544346,0.9289524252686364,0.053333192362596184,11,0.9338555265448216,0.7656765676567657
Eff_b0,False,1,0.8946280991735537,0.8335171267599745,0.8665951451542021,0.8482017362546507,0.9394307576971797,0.0639203893163426,10,0.9147084421235857,0.8184818481848185
Eff_b0,False,2,0.8966942148760331,0.8392983414101427,0.8569655921205698,0.8476207000772391,0.9194650535549639,0.049767926762153046,12,0.9251523063533508,0.7887788778877888
Eff_b0,False,3,0.9022038567493113,0.8534872534872535,0.848296840127877,0.8508506944444445,0.9374172404185588,0.05797426264435588,9,0.9408181026979983,0.7557755775577558
Eff_b0,False,4,0.9022038567493113,0.8491937848138376,0.85923187619023,0.8540546509356233,0.9329162681281183,0.05414143212223399,11,0.9329852045256745,0.7854785478547854
Eff_b0,False,5,0.8932506887052342,0.8361999485072705,0.8450697550172772,0.8405050319649006,0.9332753118653903,0.06284979254457164,10,0.927763272410792,0.7623762376237624
Eff_b1,True,1,0.9015151515151515,0.8460564024888579,0.864871735215297,0.8548989325459914,0.9432337489623636,0.03913394024550669,11,0.927763272410792,0.801980198019802
Eff_b1,True,2,0.9056473829201102,0.8544854644980019,0.8638376892519539,0.8590270282528476,0.9478582322984256,0.04132287634515892,10,0.9355961705831157,0.7920792079207921
Eff_b1,True,3,0.9042699724517906,0.855326806795278,0.85446233918431,0.8548934319269248,0.925646350535837,0.04126193936179092,10,0.9399477806788512,0.768976897689769
Eff_b1,True,4,0.9166666666666666,0.8723776223776223,0.8768752854397711,0.8745973477951468,0.9418406592617485,0.03873421804040676,11,0.9451697127937336,0.8085808580858086
Eff_b1,True,5,0.912534435261708,0.8702988967607769,0.8621142793130487,0.866109916727112,0.9398271419831278,0.0391091860384629,11,0.9486510008703221,0.7755775577557755
Eff_b1,False,1,0.9028925619834711,0.8476748980123253,0.8681720652483003,0.8572563051546334,0.9464967384466906,0.04376615452495162,9,0.927763272410792,0.8085808580858086
Eff_b1,False,2,0.9152892561983471,0.8692307692307693,0.8772199674275523,0.8731323722149411,0.9440179004845654,0.03995859167641257,10,0.9425587467362925,0.8118811881188119
Eff_b1,False,3,0.8884297520661157,0.8258998549586831,0.8517436600056872,0.8376601148409895,0.9374229851183551,0.056555546437416955,9,0.9147084421235857,0.7887788778877888
Eff_b1,False,4,0.9090909090909091,0.8678663239074551,0.8514334462166844,0.8592576927143915,0.9402522497680578,0.0291014339608837,13,0.9503916449086162,0.7524752475247525
Eff_b1,False,5,0.9118457300275482,0.8606809378185525,0.881119182414325,0.870268459186665,0.9527728229742034,0.05184344381740497,9,0.9338555265448216,0.8283828382838284
Eff_b2,True,1,0.9056473829201102,0.8685331787010891,0.8358925970926074,0.8506736889357974,0.9353491484918727,0.04497748473050082,10,0.9556135770234987,0.7161716171617162
Eff_b2,True,2,0.90633608815427,0.8598364598364598,0.8545528182061026,0.8571527777777778,0.9318391369163026,0.041723035753920626,10,0.9434290687554395,0.7656765676567657
Eff_b2,True,3,0.9139118457300276,0.8773586055582643,0.8556945772906273,0.8658678351068587,0.9339330799920725,0.04687771611694419,10,0.9556135770234987,0.7557755775577558
Eff_b2,True,4,0.8966942148760331,0.8470992868342522,0.8350955199958638,0.8408713644440288,0.9156591899398817,0.047106495665377175,10,0.9408181026979983,0.7293729372937293
Eff_b2,True,5,0.9008264462809917,0.8524472373795228,0.8437815060879457,0.8479987903178905,0.9326893524861624,0.0512261172599799,9,0.9416884247171453,0.7458745874587459
Eff_b2,False,1,0.9070247933884298,0.8579545454545454,0.8622780032572448,0.8600879500193787,0.9333270141635572,0.04340083992689223,11,0.939077458659704,0.7854785478547854
Eff_b2,False,2,0.8932506887052342,0.8344989493039139,0.8511447750519177,0.8423595219933893,0.9287140202270879,0.059364385522331455,9,0.9234116623150566,0.7788778877887789
Eff_b2,False,3,0.9056473829201102,0.8685331787010891,0.8358925970926074,0.8506736889357974,0.9291793409105923,0.05449930084023137,9,0.9556135770234987,0.7161716171617162
Eff_b2,False,4,0.9056473829201102,0.8568964331560609,0.8577626692173134,0.8573284113150954,0.9244916658767703,0.05126687861251058,9,0.9399477806788512,0.7755775577557755
